wandb: WARNING Tried to log to step 10 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:47:44,834] INFO d=256 round=11 | acc=99.02% det=0.0% tp=0 fn=2 proving=120.4ms proof=24.53KB
wandb: WARNING Tried to log to step 11 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:48:14,518] INFO d=256 round=12 | acc=99.03% det=0.0% tp=0 fn=2 proving=119.9ms proof=24.53KB
wandb: WARNING Tried to log to step 12 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:48:44,627] INFO d=256 round=13 | acc=99.13% det=0.0% tp=0 fn=2 proving=120.1ms proof=24.53KB
wandb: WARNING Tried to log to step 13 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:49:14,855] INFO d=256 round=14 | acc=99.09% det=0.0% tp=0 fn=2 proving=123.9ms proof=24.53KB
wandb: WARNING Tried to log to step 14 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:49:46,406] INFO d=256 round=15 | acc=99.14% det=0.0% tp=0 fn=2 proving=123.4ms proof=24.53KB
wandb: WARNING Tried to log to step 15 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:50:16,352] INFO d=256 round=16 | acc=99.19% det=0.0% tp=0 fn=2 proving=121.3ms proof=24.53KB
wandb: WARNING Tried to log to step 16 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:50:46,621] INFO d=256 round=17 | acc=99.16% det=0.0% tp=0 fn=2 proving=126.0ms proof=24.53KB
wandb: WARNING Tried to log to step 17 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:51:16,096] INFO d=256 round=18 | acc=99.18% det=0.0% tp=0 fn=2 proving=119.6ms proof=24.53KB
wandb: WARNING Tried to log to step 18 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:51:46,088] INFO d=256 round=19 | acc=99.25% det=0.0% tp=0 fn=2 proving=121.9ms proof=24.53KB
[2026-06-22 16:51:46,090] INFO d=256 DONE | det_rate=0.0% proving=121.6ms proof=24.53KB
[2026-06-22 16:51:46,091] INFO Saved per-d log to /workspace/output/ablation_d_logs/d256_results.json
[2026-06-22 16:51:46,100] INFO === d=512: starting 20 rounds ===
[2026-06-22 16:52:16,627] INFO d=512 round= 0 | acc=94.34% det=0.0% tp=0 fn=2 proving=241.5ms proof=49.03KB
wandb: WARNING Tried to log to step 0 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:52:46,370] INFO d=512 round= 1 | acc=97.19% det=0.0% tp=0 fn=2 proving=234.3ms proof=49.03KB
wandb: WARNING Tried to log to step 1 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:53:16,177] INFO d=512 round= 2 | acc=97.84% det=0.0% tp=0 fn=2 proving=235.9ms proof=49.03KB
wandb: WARNING Tried to log to step 2 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:53:46,198] INFO d=512 round= 3 | acc=98.17% det=0.0% tp=0 fn=2 proving=236.7ms proof=49.03KB
wandb: WARNING Tried to log to step 3 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:54:16,571] INFO d=512 round= 4 | acc=98.32% det=50.0% tp=1 fn=1 proving=238.8ms proof=49.03KB
